productId,setName,productName,rarity,cardNumber,subTypeName,marketPrice,midPrice,lowPrice,highPrice
42407,Base Set,Sandshrew,Common,062/102,Normal,1.03,0.75,0.2,96.95
44455,Fossil,Psyduck,Common,53/62,1st Edition,13.31,8.86,4.54,96.95
44455,Fossil,Psyduck,Common,53/62,Unlimited,1.91,1.2,0.15,96.95
83623,POP Series 1,Armaldo ex (Non-Holo),Ultra Rare,016/017,Normal,23.44,39.99,34.99,256.6
83879,Gym Heroes,Blaine's Quiz #1,Rare,097/132,1st Edition,27.75,299.99,299.9,333.79
83879,Gym Heroes,Blaine's Quiz #1,Rare,097/132,Unlimited,15.66,17.05,12.0,95.74
84135,Expedition,Caterpie,Common,096/165,Normal,6.96,7.19,4.68,100.0
84135,Expedition,Caterpie,Common,096/165,Reverse Holofoil,40.69,28.23,24.47,550.0
84391,Plasma Storm,Colress Machine (Team Plasma),Uncommon,119/135,Normal,0.3,0.3,0.09,16.3
84391,Plasma Storm,Colress Machine (Team Plasma),Uncommon,119/135,Reverse Holofoil,2.88,2.15,1.0,39.1
84647,Team Rocket,Dark Raichu,Secret Rare,83/82,1st Edition Holofoil,360.16,399.99,245.0,1512.5
84647,Team Rocket,Dark Raichu,Secret Rare,83/82,Unlimited Holofoil,121.7,142.49,85.12,9999.0
84903,Dragon Vault,Dragonair (4),Holo Rare,4/20,Holofoil,14.36,13.1,6.99,199.76
85159,Triumphant,Electrode,Uncommon,34/102,Normal,0.36,0.39,0.15,45.0
85159,Triumphant,Electrode,Uncommon,34/102,Reverse Holofoil,4.86,5.0,3.25,96.95
85415,Expedition,Feraligatr (46),Rare,046/165,Normal,19.49,175.85,39.49,187.4
85415,Expedition,Feraligatr (46),Rare,046/165,Reverse Holofoil,62.5,91.49,90.0,299.99
85671,Expedition,Gengar (13),Holo Rare,013/165,Holofoil,725.5,400.0,349.98,602.1
85671,Expedition,Gengar (13),Holo Rare,013/165,Reverse Holofoil,799.98,600.0,350.0,1015.36
85927,EX Delta Species,Groudon Star,Ultra Rare,111/113,Holofoil,1010.0,4249.99,3499.99,4999.99
86183,Dragons Exalted,Hoppip,Common,1/124,Normal,0.32,0.32,0.14,19.98
86183,Dragons Exalted,Hoppip,Common,1/124,Reverse Holofoil,0.97,1.0,0.38,19.98
86439,Boundaries Crossed,Keldeo EX (142 Full Art),Ultra Rare,142/149,Holofoil,147.38,129.99,99.49,1602.78
86695,HeartGold SoulSilver,Ledian,Rare,25/123,Normal,10.83,13.5,9.99,24.99
86695,HeartGold SoulSilver,Ledian,Rare,25/123,Reverse Holofoil,17.15,208.75,205.62,299.99
86951,Rising Rivals,Luxray GL,Holo Rare,9/111,Holofoil,20.63,96.24,22.65,199.9
86951,Rising Rivals,Luxray GL,Holo Rare,9/111,Reverse Holofoil,21.75,158.3,16.48,213.1
87207,Call of Legends,Mareep,Common,63/95,Normal,0.55,0.45,0.09,1.99
87207,Call of Legends,Mareep,Common,63/95,Reverse Holofoil,9.53,27.07,10.98,61.0
87463,EX Unseen Forces,Miltank,Uncommon,42/115,Normal,14.36,22.5,12.0,299.8
87463,EX Unseen Forces,Miltank,Uncommon,42/115,Reverse Holofoil,75.0,699.9,146.98,699.99
87719,Rising Rivals,Nidoran F,Common,71/111,Normal,0.61,0.5,0.25,19.98
87719,Rising Rivals,Nidoran F,Common,71/111,Reverse Holofoil,4.85,4.49,0.32,58.0
87975,EX Sandstorm,Pelipper,Uncommon,50/100,Normal,1.51,1.45,0.75,25.5
87975,EX Sandstorm,Pelipper,Uncommon,50/100,Reverse Holofoil,7.06,50.6,27.99,80.0
88231,POP Series 2,Pokemon Park,Uncommon,010/017,Normal,48.32,50.0,33.99,509.8
88487,Call of Legends,Quilava,Uncommon,49/95,Normal,0.94,0.89,0.25,19.98
88487,Call of Legends,Quilava,Uncommon,49/95,Reverse Holofoil,6.0,6.79,5.86,59.9
88743,Supreme Victors,Rhyhorn,Common,122,Normal,5.55,6.78,1.79,96.94
88743,Supreme Victors,Rhyhorn,Common,122,Reverse Holofoil,25.75,801.43,25.01,801.43
88999,EX Unseen Forces,Scyther,Uncommon,46/115,Normal,6.06,8.74,3.15,53.1
88999,EX Unseen Forces,Scyther,Uncommon,46/115,Reverse Holofoil,137.95,176.0,149.99,1669.8
89255,EX Team Rocket Returns,Skiploom,Uncommon,49/109,Normal,1.09,1.25,0.71,19.98
89255,EX Team Rocket Returns,Skiploom,Uncommon,49/109,Reverse Holofoil,41.49,25.0,15.0,458.29
89511,Supreme Victors,Staraptor FB,Holo Rare,11,Holofoil,11.81,12.01,5.5,138.0
89511,Supreme Victors,Staraptor FB,Holo Rare,11,Reverse Holofoil,7.65,19.99,5.0,134.77
89767,XY Base Set,Tauros,Rare,100/146,Normal,0.65,0.56,0.22,19.99
89767,XY Base Set,Tauros,Rare,100/146,Reverse Holofoil,0.91,0.96,0.3,19.98
90023,Secret Wonders,Trapinch,Common,115/132,Normal,0.45,0.44,0.2,19.98
90023,Secret Wonders,Trapinch,Common,115/132,Reverse Holofoil,4.93,3.97,2.74,50.0
90535,Plasma Freeze,Weavile (Team Plasma),Rare,66/116,Normal,1.78,1.8,0.99,29.99
90535,Plasma Freeze,Weavile (Team Plasma),Rare,66/116,Reverse Holofoil,5.23,6.75,4.44,96.95
94631,XY - Phantom Forces,Heatran,Holo Rare,63/119,Holofoil,0.58,0.61,0.25,19.98
94631,XY - Phantom Forces,Heatran,Holo Rare,63/119,Reverse Holofoil,0.62,0.62,0.29,19.98
97703,HGSS Promos,Tropical Tidal Wave - HGSS18 (Worlds 10) [Staff],Promo,HGSS18,Normal,1400.0,1187.5,1000.0,1375.0
98727,BW Trainer Kit: Excadrill & Zoroark,Darkness Energy (#24),Common,24/30,Normal,0.9,0.9,0.2,19.98
107175,XY - BREAKthrough,Stunfisk,Uncommon,56/162,Normal,0.18,0.2,0.04,19.98
107175,XY - BREAKthrough,Stunfisk,Uncommon,56/162,Reverse Holofoil,0.36,0.38,0.15,2.69
111527,XY - BREAKpoint,Cloyster,Uncommon,24/122,Normal,0.21,0.3,0.05,19.98
111527,XY - BREAKpoint,Cloyster,Uncommon,24/122,Reverse Holofoil,1.99,0.66,0.34,19.98
120999,XY - Steam Siege,Nuzleaf,Uncommon,10/114,Normal,0.13,0.2,0.04,19.98
120999,XY - Steam Siege,Nuzleaf,Uncommon,10/114,Reverse Holofoil,0.31,0.36,0.19,19.98
124071,XY - Evolutions,Machoke,Uncommon,58/108,Normal,0.14,0.2,0.02,19.9
124071,XY - Evolutions,Machoke,Uncommon,58/108,Reverse Holofoil,0.52,0.5,0.15,19.68
126887,SM Base Set,Morelull,Common,16/149,Normal,0.19,0.2,0.02,19.98
126887,SM Base Set,Morelull,Common,16/149,Reverse Holofoil,0.41,0.4,0.12,19.98
127143,XY Promos,Gym Badge (Lt. Surge),Promo,XY205,Holofoil,18.39,23.99,11.35,154.64
130983,SM - Guardians Rising,Rockruff,Common,73/145,Normal,0.15,0.2,0.04,19.98
130983,SM - Guardians Rising,Rockruff,Common,73/145,Reverse Holofoil,0.31,0.4,0.1,19.6
138151,Expedition,Expedition Booster Pack,,,Normal,,3950.0,3100.0,4800.0
167079,Best of Promos,Rocket's Hitmonchan - 9 [Winner],Promo,009/009,Reverse Holofoil,220.0,950.0,850.0,1849.8
170919,SM - Celestial Storm,Metang,Uncommon,94/168,Reverse Holofoil,0.47,0.51,0.25,19.98
170919,SM - Celestial Storm,Metang,Uncommon,94/168,Normal,0.27,0.3,0.14,19.98
174503,League & Championship Cards,Rare Candy - 142/168 (League Cup),Promo,142/168,Reverse Holofoil,15.67,15.99,7.0,164.5
175271,Deck Exclusives,Golurk - 59/124 (EX Dragons Exalted),Rare,059/124,Normal,1.41,1.0,0.88,26.84
178855,SM - Lost Thunder,Litleo,Common,50/214,Normal,0.13,0.21,0.04,19.98
178855,SM - Lost Thunder,Litleo,Common,50/214,Reverse Holofoil,0.4,0.4,0.2,19.98
179367,Alternate Art Promos,Tapu Lele GX - 60a/145,Promo,060a/145,Holofoil,7.08,7.35,5.89,114.5
183975,SM - Team Up,Team Up Prerelease Kit,,,,,,,
184487,SM Promos,Mimikyu - SM163,Promo,SM163,Holofoil,47.39,50.46,39.69,149.96
186023,Detective Pikachu,Snubbull (Holo Common),Common,15/18,Holofoil,0.41,0.4,0.08,19.44
