productId,setName,productName,rarity,cardNumber,subTypeName,marketPrice,midPrice,lowPrice,highPrice
42438,Base Set,Potion,Common,094/102,Normal,0.41,0.3,0.03,15.26
83654,EX FireRed & LeafGreen,Articuno ex,Secret Rare,114/112,Holofoil,199.06,243.98,224.99,449.99
83910,Platinum,Blaziken,Holo Rare,3/127,Holofoil,25.13,23.0,17.25,259.84
83910,Platinum,Blaziken,Holo Rare,3/127,Reverse Holofoil,27.06,37.5,15.5,499.94
84166,Next Destinies,Chandelure (Secret),Secret Rare,101/99,Holofoil,220.0,265.0,250.0,1000.0
84422,WoTC Promo,Cool Porygon,Promo,15/53,Holofoil,90.1,97.01,80.68,1399.99
84678,Call of Legends,Darkness Energy (Basic),Common,94/95,Normal,108.0,140.4,112.49,1119.94
84678,Call of Legends,Darkness Energy (Basic),Common,94/95,Holofoil,146.74,419.94,197.99,1099.99
84934,EX Team Rocket Returns,Dratini - 053/109,Common,53/109,Normal,7.9,7.91,4.71,15.0
84934,EX Team Rocket Returns,Dratini - 053/109,Common,53/109,Reverse Holofoil,117.99,119.99,89.99,149.99
85190,Next Destinies,Emolga,Uncommon,49/99,Normal,0.33,0.38,0.2,19.92
85190,Next Destinies,Emolga,Uncommon,49/99,Reverse Holofoil,1.79,1.79,0.65,27.24
85446,Black and White,Fighting Energy,Common,110/114,Normal,3.31,5.24,1.54,33.04
85702,Dragons Exalted,Gible (86),Common,86/124,Normal,0.34,0.34,0.19,19.92
85702,Dragons Exalted,Gible (86),Common,86/124,Reverse Holofoil,3.22,3.65,2.24,39.04
85958,Rising Rivals,Growlithe,Common,63/111,Normal,1.17,1.0,0.45,19.92
85958,Rising Rivals,Growlithe,Common,63/111,Reverse Holofoil,26.69,150.0,145.6,279.99
86214,Rising Rivals,Houndoom E4,Common,65/111,Normal,1.75,1.49,0.98,7.99
86214,Rising Rivals,Houndoom E4,Common,65/111,Reverse Holofoil,6.46,199.99,49.99,299.99
86470,Plasma Storm,Kirlia,Uncommon,60/135,Normal,0.49,0.49,0.25,18.52
86470,Plasma Storm,Kirlia,Uncommon,60/135,Reverse Holofoil,6.74,10.0,2.75,46.14
86726,Emerging Powers,Liepard,Rare,65/98,Normal,1.34,1.32,0.75,19.92
86726,Emerging Powers,Liepard,Rare,65/98,Reverse Holofoil,2.3,4.9,1.74,94.73
86982,DP Trainer Kit: Manaphy & Lucario,Machoke,Common,4/11,Normal,0.88,0.56,0.15,19.92
87238,EX Crystal Guardians,Marshtomp - 038/100,Uncommon,38/100,Normal,1.81,1.81,0.2,999.0
87238,EX Crystal Guardians,Marshtomp - 038/100,Uncommon,38/100,Reverse Holofoil,26.86,47.99,33.6,199.84
87494,Legendary Treasures,Minun,Uncommon,48/113,Normal,3.35,3.39,1.38,96.92
87494,Legendary Treasures,Minun,Uncommon,48/113,Reverse Holofoil,11.22,11.72,7.99,312.94
87750,Mysterious Treasures,Night Maintenance,Uncommon,113/123,Normal,0.73,0.67,0.25,20.0
87750,Mysterious Treasures,Night Maintenance,Uncommon,113/123,Reverse Holofoil,3.34,4.0,3.26,4.81
88006,XY Base Set,Phantump,Common,54/146,Normal,0.39,0.33,0.05,19.92
88006,XY Base Set,Phantump,Common,54/146,Reverse Holofoil,1.54,1.46,0.75,30.34
