productId,setName,productName,rarity,cardNumber,subTypeName,marketPrice,midPrice,lowPrice,highPrice
42364,Base Set,Arcanine,Uncommon,023/102,Normal,3.99,2.94,0.9,94.96
83836,Legendary Collection,Bill,Common,108/110,Normal,1.04,0.4,0.14,26.6
83836,Legendary Collection,Bill,Common,108/110,Reverse Holofoil,74.39,81.1,60.0,599.9
84092,EX Crystal Guardians,Camerupt,Holo Rare,3/100,Holofoil,11.21,14.77,8.92,96.95
84092,EX Crystal Guardians,Camerupt,Holo Rare,3/100,Reverse Holofoil,20.11,27.56,10.5,299.99
84348,Call of Legends,Clefable,Holo Rare,1/95,Holofoil,18.66,16.5,8.0,116.5
84348,Call of Legends,Clefable,Holo Rare,1/95,Reverse Holofoil,12.73,45.0,10.0,129.19
84604,Team Rocket,Dark Golduck,Uncommon,37/82,1st Edition,13.14,8.99,3.0,96.95
84604,Team Rocket,Dark Golduck,Uncommon,37/82,Unlimited,5.16,3.26,1.12,96.95
84860,EX Hidden Legends,Doduo,Common,60/101,Normal,0.26,0.31,0.1,19.98
84860,EX Hidden Legends,Doduo,Common,60/101,Reverse Holofoil,6.38,111.74,45.0,295.2
85116,Platinum,Electabuzz,Secret Rare,128/127,Holofoil,22.97,23.05,14.02,279.0
85372,Great Encounters,Exploud,Rare,17/106,Normal,1.33,1.32,0.39,19.98
85372,Great Encounters,Exploud,Rare,17/106,Reverse Holofoil,2.69,34.6,29.1,35.0
85628,Supreme Victors,Garchomp C,Uncommon,60,Normal,10.74,10.96,8.16,259.9
85628,Supreme Victors,Garchomp C,Uncommon,60,Reverse Holofoil,51.9,32.0,27.98,199.61
85884,Kalos Starter Set,Grass Energy,Common,,Normal,4.88,1.0,0.45,60.6
86140,EX Delta Species,Holon Energy WP,Rare,106/113,Normal,1.81,1.76,1.35,30.4
86140,EX Delta Species,Holon Energy WP,Rare,106/113,Reverse Holofoil,7.49,8.99,3.0,99.7
86396,Skyridge,Kabutops (150),Secret Rare,150/144,Holofoil,1000.0,2999.75,2999.75,2999.75
86396,Skyridge,Kabutops (150),Secret Rare,150/144,Reverse Holofoil,590.48,1000.0,700.0,1299.99
86652,POP Series 7,Latias,Rare,003/017,Normal,33.3,19.55,14.99,199.2
86652,POP Series 7,Latias,Rare,003/017,Holofoil,60.48,40.0,17.62,4323.4
86908,Secret Wonders,Lugia,Holo Rare,14/132,Holofoil,220.01,45.8,40.0,1000.0
86908,Secret Wonders,Lugia,Holo Rare,14/132,Reverse Holofoil,171.66,141.32,75.0,2207.3
87164,Arceus,Manectric (44),Uncommon,44/99,Normal,0.36,0.36,0.15,19.98
87164,Arceus,Manectric (44),Uncommon,44/99,Reverse Holofoil,2.02,1.72,0.79,28.1
87420,Expedition,Mewtwo (56),Rare,056/165,Normal,81.97,155.0,82.7,799.5
87420,Expedition,Mewtwo (56),Rare,056/165,Reverse Holofoil,222.49,680.75,199.99,699.99
87676,Dark Explorers,N (Supporter),Uncommon,96/108,Normal,2.72,2.49,1.69,96.94
87676,Dark Explorers,N (Supporter),Uncommon,96/108,Reverse Holofoil,3.33,2.42,1.5,96.92
